"",Date,Optimized TP,Optimized SL,Percentage Change,ROI
183,2024-06-24 03:00:00,0.003,0.005,0.0007,0.22980
184,2024-06-25 05:00:00,0.012,0.011,0.0014,1.12917
185,2024-06-25 13:00:00,0.012,0.003,0.0009,-0.36978
186,2024-06-26 14:00:00,0.013,0.008,0.0004,1.22910
187,2024-06-28 17:00:00,0.013,0.009,0.0012,1.22910
188,2024-06-29 04:00:00,0.013,0.006,0.0003,1.22910
189,2024-06-30 07:00:00,0.008,0.003,0.0005,-0.36978
190,2024-06-30 19:00:00,0.013,0.008,0.0013,1.22910
191,2024-07-02 09:00:00,0.013,0.012,0.0004,1.22910
192,2024-07-04 09:00:00,0.005,0.013,0.0009,0.42966
193,2024-07-06 11:00:00,0.013,0.006,0.0003,1.22910
194,2024-07-07 01:00:00,0.010,0.004,0.0013,0.92931
195,2024-07-07 09:00:00,0.013,0.005,0.0002,1.22910
196,2024-07-07 13:00:00,0.010,0.009,0.0003,0.92931
197,2024-07-08 02:00:00,0.013,0.011,0.0004,1.22910
198,2024-07-09 06:00:00,0.013,0.005,0.0014,1.22910
199,2024-07-11 17:00:00,0.006,0.006,0.0010,0.52959
200,2024-07-11 19:00:00,0.010,0.003,0.0006,-0.36978
201,2024-07-13 17:00:00,0.012,0.010,0.0005,1.12917
202,2024-07-14 05:00:00,0.007,0.010,0.0005,0.62952
203,2024-07-15 01:00:00,0.012,0.007,0.0003,1.12917
204,2024-07-15 19:00:00,0.013,0.013,0.0012,1.22910
205,2024-07-16 21:00:00,0.013,0.008,0.0011,1.22910
206,2024-07-18 21:00:00,0.008,0.012,0.0002,0.72945
207,2024-07-19 04:00:00,0.013,0.011,0.0008,1.22910
208,2024-07-19 09:00:00,0.003,0.006,0.0005,0.22980
209,2024-07-19 18:00:00,0.013,0.011,0.0001,1.22910
210,2024-07-20 02:00:00,0.013,0.005,0.0005,1.22910
211,2024-07-21 14:00:00,0.013,0.005,0.0003,1.22910
212,2024-07-21 23:00:00,0.013,0.012,0.0010,1.22910
213,2024-07-22 21:00:00,0.012,0.004,0.0007,-0.46971
214,2024-07-23 00:00:00,0.004,0.005,0.0007,0.32973
215,2024-07-23 05:00:00,0.003,0.012,0.0014,0.22980
216,2024-07-25 23:00:00,0.004,0.003,0.0003,-0.36978
217,2024-07-26 17:00:00,0.013,0.008,0.0002,1.22910
218,2024-07-27 11:00:00,0.010,0.003,0.0014,-0.36978
219,2024-07-27 13:00:00,0.013,0.003,0.0013,-0.36978
220,2024-07-27 15:00:00,0.013,0.009,0.0006,1.22910
221,2024-07-27 17:00:00,0.013,0.013,0.0002,1.22910
222,2024-07-28 05:00:00,0.013,0.009,0.0010,1.22910
223,2024-07-29 00:00:00,0.008,0.003,0.0005,-0.36978
224,2024-07-29 20:00:00,0.004,0.007,0.0011,0.32973
225,2024-07-30 16:00:00,0.013,0.005,0.0007,1.2291
226,2024-07-31 22:00:00,0.013,0.011,0.0005,1.2291
