Datetime,Side,Signal Open Price,Entry Price,TP Price,SL Price,Result,Duration,Execution Latency,ROI,NAV,CM_2x,ROI_2x,CM_3x,ROI_3x,CM_4x,ROI_4x,CM_5x,ROI_5x,CM_6x,ROI_6x,CM_7x,ROI_7x,CM_8x,ROI_8x
1/16/2024 18:58,Buy,42996,42992.56032,43405.2889,42390.66448,1,2:18:00,0:04:00,14.36487041,114364.8704,130647.1545,1.92,148902.1931,2.88,169386.705,3.84,192327.4028,4.8,217967.9344,5.76,246569.3295,6.72,277409.7548,7.68
1/17/2024 2:58,Buy,42990.4,42986.96077,43399.63559,42385.14332,-1,9:38:00,0:00:00,12.76376222,112763.7622,127041.293,-2.76,142737.6423,-4.14,160036.5589,-5.52,179056.812,-6.9,199920.1894,-8.28,222750.7323,-9.66,246339.8623,-11.04
1/17/2024 22:58,Sell,42675.7,42679.11406,42269.39456,43276.62165,1,17:38:00,0:00:00,13.84629434,113846.2943,129480.4859,1.92,146848.4864,2.88,166181.9627,3.84,187651.539,4.8,211435.5923,5.76,237719.5815,6.72,265258.7637,7.68
1/18/2024 20:58,Sell,41050.8,41054.08406,40659.96486,41628.84124,1,18:56:00,0:29:00,14.93921876,114939.2188,131966.5112,1.92,151077.7228,2.88,172563.3501,3.84,196658.8129,4.8,223614.2824,5.76,253694.3374,6.72,285630.6367,7.68
1/19/2024 6:58,Buy,41482.9,41479.58137,41877.78535,40898.86723,-1,7:49:00,0:01:00,13.3300697,113330.0697,128324.2355,-2.76,144823.105,-4.14,163037.8532,-5.52,183089.3548,-6.9,205099.0199,-8.28,229187.4644,-9.66,253640.0054,-11.04
1/20/2024 2:58,Sell,41617.9,41621.22943,41221.66563,42203.92664,1,48:15:00,0:01:00,14.41803837,114418.0384,130788.0608,1.92,148994.0105,2.88,169298.5067,3.84,191877.6438,4.8,216912.7234,5.76,244588.862,6.72,273119.5578,7.68
1/20/2024 10:58,Buy,41536.1,41532.77711,41931.49177,40951.31823,-1,41:52:00,0:02:00,12.81618583,112816.1858,127178.3103,-2.76,142825.6584,-4.14,159953.2292,-5.52,178638.0864,-6.9,198952.3499,-8.28,220961.5779,-9.66,242530.1674,-11.04
1/22/2024 19:58,Sell,39740.7,39743.87926,39362.33802,40300.29357,-1,0:30:00,0:00:00,11.23675923,111236.7592,123668.189,-2.76,136912.6762,-4.14,151123.8109,-5.52,166312.0584,-6.9,182479.0953,-8.28,199616.6895,-9.66,215366.7886,-11.04
1/23/2024 18:58,Sell,39189.5,39192.63516,38816.38586,39741.33205,-1,4:28:00,0:00:00,9.679444601,109679.4446,120254.9469,-2.76,131244.4914,-4.14,142781.7766,-5.52,154836.5264,-6.9,167369.8262,-8.28,180333.7173,-9.66,191245.7083,-11.04
1/24/2024 18:58,Buy,39731.6,39728.42147,40109.81432,39172.22357,1,4:22:00,0:00:00,10.73236727,110732.3673,122563.8419,1.92,135024.3327,2.88,148264.5968,3.84,162268.6797,4.8,177010.3282,5.76,192452.1431,6.72,205933.3787,7.68
1/25/2024 14:58,Sell,39998,40001.19984,39617.18832,40561.21664,1,0:54:00,0:01:00,11.79539799,111795.398,124917.0677,1.92,138913.0335,2.88,153957.9573,3.84,170057.5763,4.8,187206.1231,5.76,205384.9271,6.72,221749.0622,7.68
1/26/2024 2:58,Sell,40137.5,40140.711,39755.36017,40702.68095,-1,7:40:00,0:02:00,10.23026242,110230.2624,121469.3566,-2.76,133162.0339,-4.14,145459.4781,-5.52,158323.6035,-6.9,171705.4561,-8.28,185544.7431,-9.66,196913.1672,-11.04
1/26/2024 18:58,Sell,42056.7,42060.06454,41656.28792,42648.90544,1,12:02:00,0:00:00,11.28847294,111288.4729,123801.5683,1.92,136997.1005,2.88,151045.122,3.84,165923.1365,4.8,181595.6904,5.76,198013.3499,6.72,212036.0985,7.68
1/27/2024 2:58,Buy,41833,41829.65336,42231.21803,41244.03821,1,22:29:00,0:00:00,12.35684228,112356.8423,126178.5584,1.92,140942.617,2.88,156845.2547,3.84,173887.4471,4.8,192055.6022,5.76,211319.847,6.72,228320.4708,7.68
1/28/2024 2:58,Buy,42080.9,42077.53353,42481.47785,41488.44806,1,1:29:00,0:03:00,13.43546797,113435.468,128601.1867,1.92,145001.7644,2.88,162868.1125,3.84,182234.0445,4.8,203118.0049,5.76,225520.5407,6.72,245855.483,7.68
1/28/2024 18:58,Sell,41981.2,41984.5585,41581.50673,42572.34231,-1,20:47:00,0:13:00,11.84737142,111847.3714,125051.7939,-2.76,138998.6913,-4.14,153877.7927,-5.52,169659.8954,-6.9,186299.8341,-8.28,203735.2565,-9.66,218319.6689,-11.04
1/30/2024 10:58,Sell,43464.2,43467.67714,43050.38744,44076.22462,1,12:28:00,0:00:00,12.92110618,112921.1062,127452.7884,1.92,143001.8536,2.88,159786.6999,3.84,177803.5704,4.8,197030.7045,5.76,217426.2657,6.72,235086.6194,7.68
1/30/2024 18:58,Buy,43335.1,43331.63319,43747.61687,42724.99033,1,1:28:00,0:04:00,14.0051488,114005.1488,129899.8819,1.92,147120.307,2.88,165922.5092,3.84,186338.1418,4.8,208379.6731,5.76,232037.3108,6.72,253141.2718,7.68
1/31/2024 18:58,Sell,43485.4,43488.87883,43071.3856,44097.72314,1,0:33:00,0:00:00,15.09959823,115099.5982,132393.9597,1.92,151357.3719,2.88,172293.9335,3.84,195282.3726,4.8,220382.3422,5.76,247630.218,6.72,272582.5215,7.68
2/1/2024 6:58,Buy,42156.2,42152.8275,42557.49465,41562.68792,1,7:52:00,0:00:00,16.20455437,116204.5544,134935.9237,1.92,155716.4642,2.88,178910.0206,3.84,204655.9265,4.8,233076.3652,5.76,264270.9687,6.72,293516.8591,7.68
2/3/2024 2:58,Sell,43150.5,43153.95204,42739.6741,43758.10737,1,27:58:00,0:00:00,17.3201181,117320.1181,137526.6934,1.92,160201.0983,2.88,185780.1654,3.84,214479.411,4.8,246501.5638,5.76,282029.9778,6.72,316058.9539,7.68
2/5/2024 10:58,Sell,43118.2,43121.64946,42707.68162,43725.35255,1,4:45:00,0:00:00,18.44639123,118446.3912,140167.2059,1.92,164814.89,2.88,192914.1237,3.84,224774.4227,4.8,260700.0539,5.76,300982.3923,6.72,340332.2816,7.68
2/7/2024 10:58,Buy,42853,42849.57176,43260.92765,42249.67776,1,3:48:00,0:00:00,19.58347658,119583.4766,142858.4163,1.92,169561.5588,2.88,200322.0261,3.84,235563.595,4.8,275716.377,5.76,321208.4091,6.72,366469.8008,7.68
2/8/2024 2:58,Sell,44593.8,44597.3675,44169.23278,45221.73065,-1,11:58:00,0:00:00,17.90930791,117909.3079,138915.524,-2.76,162541.7103,-4.14,189264.2502,-5.52,219309.7069,-6.9,252887.061,-8.28,290179.6767,-9.66,325425.1831,-11.04
2/8/2024 18:58,Buy,45288.8,45285.1769,45719.91459,44651.18442,1,7:20:00,0:00:00,19.04123727,119041.2373,141582.7021,1.92,167222.9115,2.88,196531.9974,3.84,229836.5729,4.8,267453.3557,5.76,309679.751,6.72,350417.8372,7.68
2/9/2024 11:58,Buy,47107.3,47103.53142,47555.72532,46444.08198,1,0:10:00,0:00:00,20.18403315,120184.0331,144301.0899,1.92,172038.9314,2.88,204078.8261,3.84,240868.7284,4.8,282858.669,5.76,330490.2303,6.72,377329.9271,7.68
2/11/2024 0:58,Sell,47697.8,47701.61582,47243.68031,48369.43845,-1,2:37:00,0:00:00,18.50145668,118501.4567,140318.3799,-2.76,164916.5196,-4.14,192813.6749,-5.52,224248.7861,-6.9,259437.9712,-8.28,298564.874,-9.66,335068.9753,-11.04
2/11/2024 23:58,Buy,48268.9,48265.03849,48728.38286,47589.32795,1,0:27:00,0:03:00,19.63907067,119639.0707,143012.4927,1.92,169666.1154,2.88,200217.7201,3.84,235012.7278,4.8,274381.5983,5.76,318628.4336,6.72,360802.2726,7.68
2/13/2024 2:58,Sell,49991.7,49995.69934,49515.74062,50695.63913,1,8:49:00,1:49:00,20.78760574,120787.6057,145758.3326,1.92,174552.4995,2.88,207906.0805,3.84,246293.3388,4.8,290185.9784,5.76,340040.2643,6.72,388511.8871,7.68
