Date,calculated_tp,Optimized TP,calculated_sl,Optimized SL,calculated_percentage_change,Percentage Change
4/18/2024 16:00,0.002931,0.007,0.002258,0.009,0.00019,0.0012
4/19/2024 16:00,0.00437,0.013,0.003381,0.005,0.000285,0.0004
4/20/2024 3:00,0.002159,0.013,0.001696,0.01,0.000143,0.0008
4/20/2024 21:00,0.001197,0.003,0.000941,0.008,0.00008,0.0007
4/21/2024 21:00,0.005687,0.008,0.004533,0.003,0.000386,0.0006
4/22/2024 16:00,0.002683,0.013,0.002144,0.012,0.000183,0.0003
4/24/2024 22:00,0.000974,0.011,0.000769,0.011,0.000065,0.0002
4/25/2024 9:00,0.002874,0.007,0.002298,0.012,0.000196,0.001
4/25/2024 22:00,0.001338,0.004,0.001032,0.003,0.000087,0.0003
4/26/2024 21:00,0.001508,0.013,0.001181,0.006,0.0001,0.0006
4/27/2024 5:00,0.002961,0.013,0.002316,0.008,0.000196,0.0001
4/27/2024 13:00,0.000756,0.005,0.000593,0.007,0.00005,0.0006
4/28/2024 9:00,0.001296,0.012,0.00103,0.009,0.000088,0.001
4/29/2024 5:00,0.000986,0.012,0.000764,0.013,0.000064,0.0006
4/29/2024 10:00,0.00151,0.013,0.001228,0.013,0.000105,0.0007
4/30/2024 4:00,0.000849,0.013,0.000673,0.007,0.000057,0.0006
4/30/2024 18:00,0.002275,0.013,0.001825,0.013,0.000156,0.0006
5/4/2024 12:00,0.002465,0.013,0.001902,0.007,0.00016,0.0008
5/5/2024 12:00,0.001385,0.003,0.001072,0.011,0.00009,0.0001
5/5/2024 19:00,0.001261,0.012,0.00099,0.007,0.000084,0.0008
5/6/2024 5:00,0.001361,0.013,0.001078,0.006,0.000091,0.001
5/7/2024 6:00,0.003068,0.013,0.002407,0.008,0.000203,0.0008
5/8/2024 21:00,0.001782,0.013,0.00137,0.008,0.000116,0.0004
5/9/2024 16:00,0.003981,0.007,0.003184,0.01,0.00027,0.0012
5/10/2024 13:00,0.001688,0.005,0.0013,0.003,0.000109,0.0002
5/11/2024 0:00,0.00086,0.005,0.000661,0.007,0.000055,0.0006
5/12/2024 2:00,0.000802,0.013,0.000622,0.005,0.000053,0.0006
5/12/2024 21:00,0.000967,0.009,0.000744,0.012,0.000063,0.0014
5/13/2024 11:00,0.002492,0.013,0.001947,0.012,0.000165,0.0011
5/15/2024 19:00,0.004439,0.013,0.003519,0.011,0.000298,0.0007
5/17/2024 1:00,0.002174,0.013,0.001703,0.008,0.000144,0.0003
5/17/2024 17:00,0.002158,0.013,0.001664,0.011,0.00014,0.0013
5/17/2024 21:00,0.001007,0.013,0.000801,0.008,0.000068,0.0004
5/18/2024 13:00,0.001455,0.009,0.001125,0.013,0.000095,0.0012
5/18/2024 18:00,0.00113,0.008,0.000881,0.013,0.000075,0.0011
5/19/2024 11:00,0.002985,0.013,0.002301,0.01,0.000193,0.0005
5/20/2024 2:00,0.00185,0.012,0.001482,0.007,0.000126,0.0004
5/20/2024 13:00,0.001852,0.004,0.001478,0.007,0.000126,0.0013
5/20/2024 17:00,0.003905,0.005,0.003106,0.003,0.000262,0.0004
5/20/2024 22:00,0.002014,0.003,0.001653,0.011,0.000142,0.0012
5/21/2024 18:00,0.002216,0.012,0.001733,0.013,0.000146,0.0004
5/21/2024 22:00,0.001215,0.009,0.000992,0.004,0.000085,0.0001
5/23/2024 1:00,0.002308,0.013,0.001798,0.011,0.000151,0.0005
5/23/2024 4:00,0.000891,0.013,0.000717,0.01,0.000061,0.0006
5/25/2024 9:00,0.000796,0.013,0.000632,0.013,0.000053,0.0003
5/25/2024 20:00,0.000706,0.013,0.00056,0.01,0.000048,0.0005
5/27/2024 0:00,0.001417,0.011,0.00113,0.007,0.000096,0.0001
5/27/2024 9:00,0.001826,0.005,0.001419,0.003,0.00012,0.0002
5/27/2024 14:00,0.001534,0.006,0.001216,0.003,0.000103,0.0011
5/29/2024 15:00,0.001605,0.013,0.001239,0.009,0.000104,0.0009
5/30/2024 13:00,0.001494,0.013,0.001177,0.013,0.000099,0.0002
5/31/2024 17:00,0.002363,0.003,0.001902,0.003,0.000163,0.0004
6/1/2024 1:00,0.001017,0.003,0.000802,0.013,0.000068,0.0008
6/2/2024 0:00,0.000306,0.012,0.000243,0.007,0.000021,0.0006
6/2/2024 17:00,0.000893,0.008,0.000701,0.006,0.000059,0.0001
6/4/2024 2:00,0.001079,0.012,0.000872,0.009,0.000074,0.0011
6/6/2024 0:00,0.000927,0.009,0.000738,0.01,0.000063,0.0011
6/7/2024 18:00,0.012769,0.013,0.009808,0.009,0.000825,0.0005
6/8/2024 0:00,0.000532,0.012,0.000416,0.012,0.000035,0.0006
6/10/2024 7:00,0.000944,0.012,0.00073,0.011,0.000062,0.0001
6/10/2024 9:00,0.000875,0.013,0.000681,0.012,0.000057,0.0001
6/11/2024 13:00,0.00327,0.005,0.002585,0.007,0.000219,0.0014
6/11/2024 16:00,0.004681,0.006,0.00373,0.003,0.000319,0.0013
6/13/2024 17:00,0.002164,0.012,0.001735,0.013,0.000148,0.0003
6/14/2024 17:00,0.003413,0.004,0.002688,0.006,0.000229,0.0011
6/16/2024 12:00,0.00056,0.007,0.00043,0.009,0.000036,0.0002
6/16/2024 18:00,0.000447,0.013,0.000356,0.011,0.00003,0.0004
6/17/2024 5:00,0.001062,0.013,0.000856,0.005,0.000073,0.001
6/17/2024 13:00,0.002645,0.013,0.002086,0.009,0.000177,0.0011
6/18/2024 17:00,0.00303,0.011,0.002418,0.013,0.000206,0.0008
6/20/2024 19:00,0.001019,0.013,0.000802,0.01,0.000067,0.0011
6/21/2024 9:00,0.002269,0.013,0.001708,0.006,0.000143,0.0005
6/22/2024 5:00,0.000911,0.004,0.000714,0.012,0.00006,0.0012
6/23/2024 13:00,0.000789,0.012,0.00062,0.011,0.000052,0.0009
6/24/2024 3:00,0.001976,0.003,0.001537,0.005,0.00013,0.0007
6/25/2024 5:00,0.000855,0.012,0.000685,0.011,0.000059,0.0014
6/25/2024 13:00,0.001843,0.012,0.001459,0.003,0.000124,0.0009
6/26/2024 14:00,0.002401,0.013,0.001932,0.008,0.000164,0.0004
6/28/2024 17:00,0.002132,0.013,0.001695,0.009,0.000144,0.0012
6/29/2024 4:00,0.000563,0.013,0.000435,0.006,0.000037,0.0003
6/30/2024 7:00,0.007403,0.008,0.005934,0.003,0.000505,0.0005
6/30/2024 19:00,0.002037,0.013,0.001619,0.008,0.000137,0.0013
7/2/2024 9:00,0.001591,0.013,0.001261,0.012,0.000107,0.0004
7/4/2024 9:00,0.00767,0.005,0.00599,0.013,0.000507,0.0009
7/6/2024 11:00,0.000965,0.013,0.000761,0.006,0.000064,0.0003
7/7/2024 1:00,0.001251,0.01,0.000969,0.004,0.000082,0.0013
7/7/2024 9:00,0.001455,0.013,0.00116,0.005,0.000098,0.0002
7/7/2024 13:00,0.002744,0.01,0.00213,0.009,0.00018,0.0003
7/8/2024 2:00,0.003436,0.013,0.002752,0.011,0.000235,0.0004
7/9/2024 6:00,0.002959,0.013,0.002343,0.005,0.000199,0.0014
7/11/2024 17:00,0.002204,0.006,0.001758,0.006,0.000149,0.001
7/11/2024 19:00,0.002157,0.01,0.001662,0.003,0.00014,0.0006
7/13/2024 17:00,0.000544,0.012,0.000414,0.01,0.000035,0.0005
7/14/2024 5:00,0.003674,0.007,0.002911,0.01,0.000246,0.0005
7/15/2024 1:00,0.003311,0.012,0.002679,0.007,0.000229,0.0003
7/15/2024 19:00,0.002674,0.013,0.002112,0.013,0.000178,0.0012
7/16/2024 21:00,0.002704,0.013,0.002088,0.008,0.000176,0.0011
7/18/2024 21:00,0.001017,0.008,0.000831,0.012,0.000071,0.0002
7/19/2024 4:00,0.001724,0.013,0.001344,0.011,0.000113,0.0008
7/19/2024 9:00,0.003435,0.003,0.002738,0.006,0.000232,0.0005
7/19/2024 18:00,0.002578,0.013,0.002046,0.011,0.000173,0.0001
7/20/2024 2:00,0.001569,0.013,0.001228,0.005,0.000104,0.0005
7/21/2024 14:00,0.003174,0.013,0.002519,0.005,0.000214,0.0003
7/21/2024 23:00,0.00169,0.013,0.001344,0.012,0.000114,0.001
7/22/2024 21:00,0.00321,0.012,0.002505,0.004,0.000211,0.0007
