Date,Start Date,End Date,Total Trades,Wins,Losses,WinRate,Final NAV,Daily Return,TP,SL,Entry Time Offset,Percentage Change
2024-05-17 00:00:00,2024-05-01,2024-06-01,18,10,8,0.5555555555555556,100574.22933830439,2.2710904915990247,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-17 16:00:00,2024-05-01,2024-06-01,18,10,8,0.5555555555555556,100574.22933830439,2.2710904915990247,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-18 12:00:00,2024-05-01,2024-06-01,18,10,8,0.5555555555555556,100574.22933830439,-0.15431086393295132,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-18 17:00:00,2024-05-01,2024-06-01,18,10,8,0.5555555555555556,100574.22933830439,-0.15431086393295132,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-19 10:00:00,2024-05-01,2024-06-01,18,10,8,0.5555555555555556,100574.22933830439,0.0,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-20 01:00:00,2024-05-01,2024-06-01,18,10,8,0.5555555555555556,100574.22933830439,1.1291701199999946,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-20 12:00:00,2024-05-01,2024-06-01,18,10,8,0.5555555555555556,100574.22933830439,1.1291701199999946,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-20 21:00:00,2024-05-01,2024-06-01,18,10,8,0.5555555555555556,100574.22933830439,1.1291701199999946,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-21 17:00:00,2024-05-01,2024-06-01,18,10,8,0.5555555555555556,100574.22933830439,0.0,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-21 21:00:00,2024-05-01,2024-06-01,18,10,8,0.5555555555555556,100574.22933830439,0.0,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-23 00:00:00,2024-05-01,2024-06-01,18,10,8,0.5555555555555556,100574.22933830439,0.0,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-24 08:00:00,2024-05-01,2024-06-01,18,10,8,0.5555555555555556,100574.22933830439,0.0,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-25 09:00:00,2024-05-01,2024-06-01,18,10,8,0.5555555555555556,100574.22933830439,-0.15431086393297586,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-25 20:00:00,2024-05-01,2024-06-01,18,10,8,0.5555555555555556,100574.22933830439,-0.15431086393297586,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-26 23:00:00,2024-05-01,2024-06-01,18,10,8,0.5555555555555556,100574.22933830439,1.129170120000016,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-27 08:00:00,2024-05-01,2024-06-01,18,10,8,0.5555555555555556,100574.22933830439,-1.269150119999999,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-29 14:00:00,2024-05-01,2024-06-01,18,10,8,0.5555555555555556,100574.22933830439,0.0,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-06-01 00:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,-0.4548896715808514,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-01 23:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,-0.4548896715808514,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-03 02:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,0.0,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-04 01:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,1.0292401100000101,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-05 00:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,-1.2122266962190096,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-05 23:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,-1.2122266962190096,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-06 08:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,0.0,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-07 17:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,1.0292401099999964,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-07 23:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,1.0292401099999964,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-10 06:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,0.0,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-11 12:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,-1.469010140000001,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-11 15:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,-1.469010140000001,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
