Scenario,Period,Total Trades,Total Wins,Total Losses,Win Rate,ROI,NAV,Max Drawdown
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=180",2024-06,26,16,10,0.615384615,0.111662398,123825.649,51493.35791
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=180",Overall,180,117,63,0.65,23.82564903,123825.649,200798.9132
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=240",2024-01,30,16,14,0.533333333,-4.354117293,95645.88271,116490.6118
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=240",2024-02,22,15,7,0.681818182,3.804937518,99285.14878,1462.129687
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=240",2024-03,37,25,12,0.675675676,7.215241163,106448.8117,2679.522261
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=240",2024-04,36,24,12,0.666666667,6.851073438,113741.698,10503.31508
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=240",2024-05,28,20,8,0.714285714,7.710214501,122511.4269,1503.781502
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=240",2024-06,26,16,10,0.615384615,0.111662398,122648.2261,51003.72218
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=240",Overall,179,116,63,0.648044693,22.64822606,122648.2261,208315.1506
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=300",2024-01,30,16,14,0.533333333,-4.354117293,95645.88271,116490.6118
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=300",2024-02,22,15,7,0.681818182,3.804937518,99285.14878,1462.129687
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=300",2024-03,36,25,11,0.694444444,8.737567102,107960.2553,450.1985786
"TP=0.0096, SL=0.014, Offset=60, pctChange=8e-05, TimeLimit=120, ignoreTimeInterval=300",2024-04,36,24,12,0.666666667,6.851073438,115356.6917,10652.44937
