Datetime,Signal
2024-03-08 17:58:00,-2
2024-03-08 22:58:00,2
2024-03-10 03:58:00,-2
2024-03-11 10:58:00,-2
2024-03-12 19:58:00,-2
2024-03-13 02:58:00,2
2024-03-13 05:58:00,2
2024-03-13 21:58:00,2
2024-03-14 18:58:00,-2
2024-03-15 06:58:00,2
2024-03-15 22:58:00,2
2024-03-16 21:58:00,-2
2024-03-17 04:58:00,-2
2024-03-17 11:58:00,-2
2024-03-17 20:58:00,2
2024-03-19 02:58:00,2
2024-03-19 11:58:00,-2
2024-03-21 10:58:00,-2
2024-03-21 20:58:00,-2
2024-03-22 03:58:00,2
2024-03-22 18:58:00,-2
2024-03-24 10:58:00,-2
2024-03-24 18:58:00,-2
2024-03-24 20:58:00,-2
2024-03-25 09:58:00,2
2024-03-25 19:58:00,-2
2024-03-26 02:58:00,-2
2024-03-27 02:58:00,-2
2024-03-28 01:58:00,2
2024-03-28 14:58:00,-2
2024-03-28 22:58:00,2
2024-03-30 02:58:00,2
2024-03-30 19:58:00,-2
2024-03-31 10:58:00,-2
2024-04-01 08:58:00,2
2024-04-03 18:58:00,-2
2024-04-04 02:58:00,2
2024-04-05 04:58:00,2
2024-04-05 21:58:00,2
2024-04-06 10:58:00,-2
2024-04-07 03:58:00,-2
2024-04-08 11:58:00,-2
2024-04-10 22:58:00,2
2024-04-11 06:58:00,-2
2024-04-11 23:58:00,2
2024-04-12 11:58:00,-2
2024-04-12 23:58:00,2
2024-04-13 02:58:00,-2
2024-04-13 22:58:00,2
2024-04-14 02:58:00,-2
2024-04-14 07:58:00,-2
2024-04-15 09:58:00,2
2024-04-15 22:58:00,-2
2024-04-17 14:58:00,2
2024-04-17 18:58:00,-2
2024-04-18 17:58:00,2
2024-04-19 17:58:00,-2
2024-04-20 04:58:00,2
2024-04-20 22:58:00,-2
2024-04-21 22:58:00,-2
2024-04-22 17:58:00,2
2024-04-23 06:58:00,-2
2024-04-24 23:58:00,-2
2024-04-25 10:58:00,2
2024-04-25 23:58:00,2
2024-04-26 22:58:00,-2
2024-04-27 06:58:00,2
2024-04-27 14:58:00,-2
2024-04-28 10:58:00,-2
2024-04-29 06:58:00,2
2024-04-30 05:58:00,-2
2024-05-02 11:58:00,2
2024-05-03 02:58:00,2
2024-05-03 07:58:00,2
2024-05-03 14:58:00,-2
2024-05-04 13:58:00,-2
2024-05-05 13:58:00,-2
2024-05-05 20:58:00,2
2024-05-06 06:58:00,2
2024-05-07 07:58:00,2
2024-05-08 10:58:00,2
2024-05-08 22:58:00,-2
2024-05-09 17:58:00,-2
2024-05-10 14:58:00,2
2024-05-11 02:58:00,-2
2024-05-12 03:58:00,2
2024-05-12 22:58:00,-2
2024-05-13 12:58:00,-2
2024-05-14 06:58:00,-2
2024-05-15 13:58:00,2
2024-05-15 20:58:00,2
2024-05-16 05:58:00,-2
2024-05-17 02:58:00,2
2024-05-17 18:58:00,2
2024-05-18 14:58:00,-2
2024-05-18 19:58:00,-2
2024-05-19 12:58:00,-2
2024-05-20 03:58:00,2
2024-05-20 14:58:00,-2
2024-05-20 23:58:00,-2
2024-05-21 19:58:00,-2
2024-05-21 23:58:00,2
2024-05-23 02:58:00,-2
2024-05-24 10:58:00,2
2024-05-25 11:58:00,2
2024-05-25 22:58:00,-2
2024-05-27 01:58:00,2
2024-05-27 10:58:00,-2
2024-05-29 16:58:00,2
2024-06-01 02:58:00,-2
2024-06-02 01:58:00,2
2024-06-03 04:58:00,-2
2024-06-04 03:58:00,2
2024-06-05 02:58:00,-2
2024-06-06 01:58:00,2
2024-06-06 10:58:00,-2
2024-06-07 19:58:00,-2
2024-06-08 01:58:00,2
2024-06-10 08:58:00,-2
2024-06-11 14:58:00,2
2024-06-11 17:58:00,-2
2024-06-13 06:58:00,2
2024-06-13 18:58:00,-2
2024-06-14 18:58:00,-2
2024-06-14 19:58:00,2
2024-06-16 13:58:00,2
2024-06-16 19:58:00,-2
2024-06-17 06:58:00,-2
2024-06-17 14:58:00,2
2024-06-18 04:58:00,2
2024-06-18 18:58:00,-2
2024-06-20 20:58:00,-2
2024-06-21 10:58:00,2
2024-06-21 22:58:00,-2
2024-06-23 14:58:00,-2
2024-06-24 04:58:00,2
2024-06-25 06:58:00,2
2024-06-25 14:58:00,-2
2024-06-26 15:58:00,-2
2024-06-27 10:58:00,-2
2024-06-28 10:58:00,2
2024-06-28 18:58:00,-2
2024-06-29 05:58:00,2
2024-06-30 08:58:00,-2
