Datetime,Event,Date,Time,Cur.,Imp.,Actual,Forecast,Previous
2024-01-11 13:30:00,Initial Jobless Claims,,,,,,,
2024-01-11 13:30:00,Jobless Claims 4-Week Avg.,,,,,,,
2024-01-11 13:30:00,Real Earnings (MoM) (Dec),,,,,,,
2024-01-11 13:30:00,"CPI Index, n.s.a. (Dec)",,,,,,,
2024-01-11 15:30:00,Natural Gas Storage,,,,,,,
2024-01-11 16:00:00,Cleveland CPI (MoM) (Dec),,,,,,,
2024-01-11 16:30:00,8-Week Bill Auction,,,,,,,
2024-01-11 16:30:00,4-Week Bill Auction,,,,,,,
2024-01-11 17:40:00,FOMC Member Barkin Speaks,,,,,,,
2024-01-11 18:00:00,30-Year Bond Auction,,,,,,,
2024-01-11 19:00:00,Federal Budget Balance (Dec),,,,,,,
2024-01-11 21:30:00,Fed's Balance Sheet,,,,,,,
2024-01-11 21:30:00,Reserve Balances with Federal Reserve Banks,,,,,,,
2024-01-12 13:30:00,Core PPI (YoY) (Dec),,,,,,,
2024-01-12 13:30:00,PPI ex. Food/Energy/Transport (MoM) (Dec),,,,,,,
2024-01-12 13:30:00,PPI ex. Food/Energy/Transport (YoY) (Dec),,,,,,,
2024-01-12 13:30:00,PPI (YoY) (Dec),,,,,,,
2024-01-12 13:30:00,PPI (MoM) (Dec),,,,,,,
2024-01-12 13:30:00,Core PPI (MoM) (Dec),,,,,,,
2024-01-12 15:00:00,FOMC Member Kashkari Speaks,,,,,,,
2024-01-12 17:00:00,WASDE Report,,,,,,,
2024-01-12 18:00:00,U.S. Baker Hughes Oil Rig Count,,,,,,,
2024-01-12 18:00:00,U.S. Baker Hughes Total Rig Count,,,,,,,
2024-01-12 20:30:00,CFTC Corn speculative net positions,,,,,,,
2024-01-12 20:30:00,CFTC Gold speculative net positions,,,,,,,
2024-01-12 20:30:00,CFTC Aluminium speculative net positions,,,,,,,
2024-01-12 20:30:00,CFTC Copper speculative net positions,,,,,,,
2024-01-12 20:30:00,CFTC Crude Oil speculative net positions,,,,,,,
2024-01-12 20:30:00,CFTC Soybeans speculative net positions,,,,,,,
2024-01-12 20:30:00,CFTC S&P 500 speculative net positions,,,,,,,
2024-01-12 20:30:00,CFTC Silver speculative net positions,,,,,,,
2024-01-12 20:30:00,CFTC Wheat speculative net positions,,,,,,,
2024-01-12 20:30:00,CFTC Nasdaq 100 speculative net positions,,,,,,,
2024-01-12 20:30:00,CFTC Natural Gas speculative net positions,,,,,,,
2024-01-16 13:30:00,NY Empire State Manufacturing Index (Jan),,,,,,,
2024-01-16 16:00:00,Fed Waller Speaks,,,,,,,
2024-01-16 16:30:00,6-Month Bill Auction,,,,,,,
2024-01-16 16:30:00,3-Month Bill Auction,,,,,,,
2024-01-17 12:00:00,MBA Purchase Index,,,,,,,
2024-01-17 12:00:00,Mortgage Refinance Index,,,,,,,
2024-01-17 12:00:00,OPEC Monthly Report,,,,,,,
2024-01-17 12:00:00,Mortgage Market Index,,,,,,,
2024-01-17 12:00:00,MBA 30-Year Mortgage Rate,,,,,,,
2024-01-17 12:00:00,MBA Mortgage Applications (WoW),,,,,,,
2024-01-17 13:30:00,Retail Sales (MoM) (Dec),,,,,,,
2024-01-17 13:30:00,Retail Sales (YoY) (Dec),,,,,,,
2024-01-17 13:30:00,Retail Sales Ex Gas/Autos (MoM) (Dec),,,,,,,
2024-01-17 13:30:00,Retail Control (MoM) (Dec),,,,,,,
2024-01-17 13:30:00,Core Retail Sales (MoM) (Dec),,,,,,,
2024-01-17 13:30:00,Import Price Index (YoY),,,,,,,
2024-01-17 13:30:00,Export Price Index (MoM) (Dec),,,,,,,
2024-01-17 13:30:00,Export Price Index (YoY),,,,,,,
2024-01-17 13:30:00,Import Price Index (MoM) (Dec),,,,,,,
2024-01-17 13:55:00,Redbook (YoY),,,,,,,
2024-01-17 14:00:00,FOMC Member Bowman Speaks,,,,,,,
2024-01-17 14:00:00,Fed Vice Chair for Supervision Barr Speaks,,,,,,,
2024-01-17 14:15:00,Industrial Production (YoY) (Dec),,,,,,,
2024-01-17 14:15:00,Capacity Utilization Rate (Dec),,,,,,,
2024-01-17 14:15:00,Industrial Production (MoM) (Dec),,,,,,,
2024-01-17 14:15:00,Manufacturing Production (MoM) (Dec),,,,,,,
2024-01-17 15:00:00,NAHB Housing Market Index (Jan),,,,,,,
2024-01-17 15:00:00,Retail Inventories Ex Auto (Nov),,,,,,,
2024-01-17 15:00:00,Business Inventories (MoM) (Nov),,,,,,,
2024-01-17 18:00:00,20-Year Bond Auction,,,,,,,
2024-01-17 18:00:00,Atlanta Fed GDPNow (Q4),,,,,,,
2024-01-17 19:00:00,Beige Book,,,,,,,
2024-01-17 20:00:00,FOMC Member Williams Speaks,,,,,,,
2024-01-17 21:30:00,API Weekly Crude Oil Stock,,,,,,,
2024-01-18 09:00:00,IEA Monthly Report,,,,,,,
2024-01-18 12:30:00,FOMC Member Bostic Speaks,,,,,,,
2024-01-18 13:30:00,Jobless Claims 4-Week Avg.,,,,,,,
2024-01-18 13:30:00,Building Permits (Dec),,,,,,,
2024-01-18 13:30:00,Building Permits (MoM) (Dec),,,,,,,
2024-01-18 13:30:00,Continuing Jobless Claims,,,,,,,
2024-01-18 13:30:00,Housing Starts (MoM) (Dec),,,,,,,
2024-01-18 13:30:00,Initial Jobless Claims,,,,,,,
2024-01-18 13:30:00,Housing Starts (Dec),,,,,,,
2024-01-18 13:30:00,Philly Fed Business Conditions (Jan),,,,,,,
2024-01-18 13:30:00,Philly Fed CAPEX Index (Jan),,,,,,,
2024-01-18 13:30:00,Philly Fed Employment (Jan),,,,,,,
2024-01-18 13:30:00,Philly Fed New Orders (Jan),,,,,,,
2024-01-18 13:30:00,Philly Fed Prices Paid (Jan),,,,,,,
2024-01-18 13:30:00,Philadelphia Fed Manufacturing Index (Jan),,,,,,,
2024-01-18 15:30:00,Natural Gas Storage,,,,,,,
2024-01-18 16:00:00,Crude Oil Imports,,,,,,,
2024-01-18 16:00:00,Crude Oil Inventories,,,,,,,
2024-01-18 16:00:00,Distillate Fuel Production,,,,,,,
2024-01-18 16:00:00,Cushing Crude Oil Inventories,,,,,,,
2024-01-18 16:00:00,EIA Refinery Crude Runs (WoW),,,,,,,
2024-01-18 16:00:00,Heating Oil Stockpiles,,,,,,,
2024-01-18 16:00:00,EIA Weekly Refinery Utilization Rates (WoW),,,,,,,
2024-01-18 16:00:00,Gasoline Inventories,,,,,,,
2024-01-18 16:00:00,Gasoline Production,,,,,,,
2024-01-18 16:00:00,EIA Weekly Distillates Stocks,,,,,,,
2024-01-18 16:30:00,FOMC Member Bostic Speaks,,,,,,,
2024-01-18 16:30:00,4-Week Bill Auction,,,,,,,
2024-01-18 16:30:00,8-Week Bill Auction,,,,,,,
2024-01-18 16:30:00,Atlanta Fed GDPNow (Q4),,,,,,,
2024-01-18 17:05:00,FOMC Member Bostic Speaks,,,,,,,
2024-01-18 18:00:00,10-Year TIPS Auction,,,,,,,
2024-01-18 21:30:00,Fed's Balance Sheet,,,,,,,
2024-01-18 21:30:00,Reserve Balances with Federal Reserve Banks,,,,,,,
2024-01-22 15:00:00,US Leading Index (MoM) (Dec),,,,,,,
2024-01-22 16:30:00,3-Month Bill Auction,,,,,,,
2024-01-22 16:30:00,6-Month Bill Auction,,,,,,,
2024-01-23 14:55:00,Redbook (YoY),,,,,,,
2024-01-23 15:00:00,Richmond Manufacturing Index (Jan),,,,,,,
2024-01-23 15:00:00,Richmond Manufacturing Shipments (Jan),,,,,,,
2024-01-23 15:00:00,Richmond Services Index (Jan),,,,,,,
2024-01-23 16:30:00,52-Week Bill Auction,,,,,,,
2024-01-23 18:00:00,2-Year Note Auction,,,,,,,
2024-01-23 18:00:00,M2 Money Supply (MoM) (Dec),,,,,,,
2024-01-23 21:30:00,API Weekly Crude Oil Stock,,,,,,,
2024-01-24 12:00:00,MBA 30-Year Mortgage Rate,,,,,,,
2024-01-24 12:00:00,MBA Mortgage Applications (WoW),,,,,,,
2024-01-24 12:00:00,MBA Purchase Index,,,,,,,
2024-01-24 12:00:00,Mortgage Market Index,,,,,,,
2024-01-24 12:00:00,Mortgage Refinance Index,,,,,,,
2024-01-24 14:45:00,S&P Global Composite PMI (Jan),,,,,,,
2024-01-24 14:45:00,S&P Global Services PMI (Jan),,,,,,,
