Signal Strength: Strong,,,,,,,,,,,,,,,,,,,,,,,,,
Order Execution: Immediately,,,,,,,,,,,,,,,,,,,,,,,,,
Investment,100000,,,,,,,,,,,,,,,,,,,,,,,,
Leverage,1,,,,,,,,,,,Jan,Feb,Mar,Apr,May,June,Total,,,,,,,
TP,0.009,,,,,,,,,,,,,,,,,,,,,,,,
SL,-0.0142,,,,,,,,,,,,,,,,,,,,,,,,
date,time,side,result,return,nav,cum_roi,bars 15,duration m,duration H,,Total Trades,38,27,45,37,38,32,217,,0,1,1,1,1,0
5-Mar,10,Sell,0,-1.42%,110052.187,10.05%,12,180,3,,,,,,,,,,,,,,,,
5-Mar,20,Buy,1,0.90%,111042.6566,11.04%,1,15,0.25,,,,,,,,,,,,,,,,
7-Mar,14,Sell,0,-1.42%,109465.8509,9.47%,98,1470,24.5,,,,,,,,,,,,,,,,
8-Mar,15,Sell,0,-1.42%,107911.4358,7.91%,6,90,1.5,,,,,,,,,,,,,,,,
8-Mar,20,Buy,1,0.90%,108882.6388,8.88%,128,1920,32,,,,,,,,,,,,,,,,
10-Mar,1,Sell,0,-1.42%,107336.5053,7.34%,12,180,3,,,,,,,,,,,,,,,,
11-Mar,8,Sell,0,-1.42%,105812.3269,5.81%,21,315,5.25,,,,,,,,,,,,,,,,
12-Mar,17,Sell,1,0.90%,106764.6378,6.76%,1,15,0.25,,,,,,,,,,,,,,,,
13-Mar,0,Buy,1,0.90%,107725.5196,7.73%,6,90,1.5,,,,,,,,,,,,,,,,
13-Mar,3,Buy,1,0.90%,108695.0493,8.70%,14,210,3.5,,,,,,,,,,,,,,,,
13-Mar,19,Buy,1,0.90%,109673.3047,9.67%,48,720,12,,,,,,,,,,,,,,,,
14-Mar,16,Sell,1,0.90%,110660.3645,10.66%,1,15,0.25,,,,,,,,,,,,,,,,
15-Mar,4,Buy,0,-1.42%,109088.9873,9.09%,3,45,0.75,,,,,,,,,,,,,,,,
15-Mar,20,Sell,0,-1.42%,107539.9237,7.54%,1,15,0.25,,,,,,,,,,,,,,,,
16-Mar,19,Sell,1,0.90%,108507.783,8.51%,9,135,2.25,,,,,,,,,,,,,,,,
17-Mar,2,Sell,1,0.90%,109484.353,9.48%,18,270,4.5,,,,,,,,,,,,,,,,
17-Mar,9,Sell,0,-1.42%,107929.6752,7.93%,23,345,5.75,,,,,,,,,,,,,,,,
17-Mar,18,Buy,0,-1.42%,106397.0738,6.40%,26,390,6.5,,,,,,,,,,,,,,,,
19-Mar,0,Buy,0,-1.42%,104886.2354,4.89%,6,90,1.5,,,,,,,,,,,,,,,,
19-Mar,9,Sell,1,0.90%,105830.2115,5.83%,7,105,1.75,,,,,,,,,,,,,,,,
21-Mar,8,Sell,1,0.90%,106782.6834,6.78%,28,420,7,,,,,,,,,,,,,,,,
21-Mar,18,Sell,1,0.90%,107743.7275,7.74%,2,30,0.5,,,,,,,,,,,,,,,,
22-Mar,1,Buy,1,0.90%,108713.4211,8.71%,19,285,4.75,,,,,,,,,,,,,,,,
22-Mar,16,Sell,1,0.90%,109691.8419,9.69%,2,30,0.5,,,,,,,,,,,,,,,,
24-Mar,8,Sell,0,-1.42%,108134.2177,8.13%,16,240,4,,,,,,,,,,,,,,,,
24-Mar,16,Sell,1,0.90%,109107.4257,9.11%,4,60,1,,,,,,,,,,,,,,,,
24-Mar,18,Sell,0,-1.42%,107558.1002,7.56%,10,150,2.5,,,,,,,,,,,,,,,,
25-Mar,7,Buy,1,0.90%,108526.1231,8.53%,27,405,6.75,,,,,,,,,,,,,,,,
25-Mar,17,Sell,1,0.90%,109502.8582,9.50%,18,270,4.5,,,,,,,,,,,,,,,,
26-Mar,0,Sell,0,-1.42%,107947.9177,7.95%,29,435,7.25,,,,,,,,,,,,,,,,
27-Mar,0,Sell,0,-1.42%,106415.0572,6.42%,52,780,13,,,,,,,,,,,,,,,,
