"",Datetime,Side,Signal Open Price,Entry Price,TP Price,SL Price,Result,Duration,Execution Latency,ROI,NAV,Ignore Reason,Daily Return
19,2024-06-16 12:00:00,Buy,66520.2,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0.000000,97025.221354,"",0.000000
20,2024-06-16 18:00:00,Sell,66593.2,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0.000000,97025.221354,"",0.000000
21,2024-06-17 05:00:00,Sell,66364.0,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0.000000,97025.221354,"",1.229100
22,2024-06-17 13:00:00,Buy,65290.1,65211.75188,66059.504654,64298.787354,1,03:09:00,00:03:00,1.229100,98217.758476,"",1.229100
23,2024-06-17 17:00:00,Buy,66300.0,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0.000000,98217.758476,One open trade with the same side,1.229100
24,2024-06-18 03:00:00,Buy,65476.5,65397.92820,66248.101267,64482.357205,ended before data with loss,10:05:00,00:13:00,-0.328707,97894.910081,"",-1.792888
25,2024-06-18 17:00:00,Sell,64686.8,64764.42416,63922.486646,65671.126098,-1,09:59:00,00:26:00,-1.469010,96456.823925,"",-1.792888
26,2024-06-20 19:00:00,Sell,64948.0,65025.93760,64180.600411,65936.300726,1,11:59:00,00:09:00,1.229100,97642.374874,"",1.229100
27,2024-06-21 09:00:00,Buy,64109.4,64032.46872,64864.890813,63136.014158,ended before data with loss,61:49:00,00:21:00,-0.695255,96963.511716,"",0.525300
28,2024-06-21 21:00:00,Sell,64055.0,64131.86600,63298.151742,65029.712124,1,49:24:00,00:22:00,1.229100,98155.290365,"",0.525300
29,2024-06-22 05:00:00,Buy,64388.3,64311.03404,65147.077483,63410.679563,-1,40:25:00,01:20:00,-1.469010,96713.379196,"",-1.469010
30,2024-06-23 13:00:00,Sell,64229.9,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0.000000,96713.379196,More than 2 open trades,0.000000
31,2024-06-24 03:00:00,Buy,62872.6,62797.15288,63613.515867,61917.992740,-1,05:27:00,00:13:00,-1.469010,95292.649849,"",-1.469010
32,2024-06-25 05:00:00,Buy,60949.8,60876.66024,61668.056823,60024.386997,1,06:58:00,01:32:00,1.229100,96463.891932,"",-0.257966
33,2024-06-25 13:00:00,Sell,61299.9,61373.45988,60575.604902,62232.688318,-1,04:31:00,00:26:00,-1.469010,95046.827579,"",-0.257966
34,2024-06-26 14:00:00,Sell,61800.3,NaN,NaN,NaN,Ignored,00:00:00,00:00:00,0.000000,95046.827579,Signal around economic event,0.000000
35,2024-06-27 09:00:00,Sell,61133.9,61207.26068,60411.566291,62064.162330,ended before data with loss,04:09:00,00:01:00,-0.338754,94724.853113,"",-0.338754
36,2024-06-28 09:00:00,Buy,61517.2,61443.37936,62242.143292,60583.172049,ended before data with profit,09:00:00,00:27:00,0.370559,95075.864563,"",0.370559
37,2024-06-28 17:00:00,Sell,60819.5,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0.000000,95075.864563,"",0.370559
38,2024-06-29 04:00:00,Buy,60791.9,NaN,NaN,NaN,Not Filled,00:00:00,00:00:00,0.000000,95075.864563,"",0.000000
39,2024-06-30 07:00:00,Sell,61411.1,61484.79332,60685.491007,62345.580426,-1,12:40:00,00:04:00,-1.469010,93679.190472,"",-0.257966
40,2024-06-30 19:00:00,Buy,62026.1,61951.66868,62757.040373,61084.345318,1,01:24:00,01:13:00,1.229100,94830.601524,"",-0.257966
