Datetime,Side,Signal Open Price,Entry Price,TP Price,SL Price,Result,Duration,Execution Latency,ROI,NAV,Ignore Reason,Daily Return
7/13/2024 17:00,Buy,58686.3,58656.95685,59419.49729,58070.38728,1,4:42:00,0:16:00,1.2291,106831.7862,,1.2291
7/14/2024 5:00,Sell,60231.5,60261.61575,59478.21475,60864.23191,1,8:29:00,0:00:00,1.2291,108144.8558,,1.2291
7/15/2024 1:00,Buy,61373.1,61342.41345,62139.86483,60728.98932,1,0:28:00,0:00:00,1.2291,109474.0644,,2.473307
7/15/2024 19:00,Buy,63309.9,63278.24505,64100.86224,62645.4626,1,2:03:00,0:08:00,1.2291,110819.6102,,2.473307
7/16/2024 21:00,Buy,64464.4,64432.1678,65269.78598,63787.84612,1,1:29:00,0:00:00,1.2291,112181.6942,,1.2291
7/17/2024 1:00,Buy,65632.9,65600.08355,66452.88464,64944.08271,-1,6:01:00,0:17:00,-1.06929,110982.1465,,-1.06929
7/18/2024 21:00,Sell,63817,63848.9085,63018.87269,64487.39759,-1,15:17:00,0:19:00,-1.06929,109795.4253,,-1.06929
7/19/2024 4:00,Sell,64111,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,109795.4253,One open trade with the same side,0
7/19/2024 9:00,Sell,63671.9,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,109795.4253,One open trade with the same side,0
7/19/2024 18:00,Buy,66746.4,NaN,NaN,NaN,Not Filled,0:00:00,0:00:00,0,109795.4253,,0
7/20/2024 2:00,Buy,66534.9,66501.63255,67366.15377,65836.61623,1,13:11:00,1:05:00,1.2291,111144.9211,,1.2291
7/21/2024 14:00,Buy,67250.9,67217.27455,68091.09912,66545.1018,-1,2:46:00,0:07:00,-1.06929,109956.4594,,0.146667
7/21/2024 23:00,Sell,68138,68172.069,67285.8321,68853.78969,1,6:37:00,0:00:00,1.2291,111307.9344,,0.146667
7/22/2024 21:00,Buy,67822.2,67788.2889,68669.53666,67110.40601,-1,6:37:00,0:00:00,-1.06929,110117.7297,,-1.06929
7/23/2024 0:00,Buy,67458.1,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,110117.7297,One open trade with the same side,1.2291
7/23/2024 5:00,Buy,66400,66366.8,67229.5684,65703.132,1,8:37:00,0:00:00,1.2291,111471.1868,,1.2291
7/24/2024 10:00,Buy,66478.6,66445.3607,67309.15039,65780.90709,ended before data with loss,7:48:00,0:02:00,-0.453895,110965.2248,,-0.453895
7/25/2024 23:00,Sell,65773,65805.8865,64950.40998,66463.94537,-1,0:59:00,0:04:00,-1.06929,109778.6847,,-1.06929
7/26/2024 1:00,Sell,66402.1,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,109778.6847,One open trade with the same side,1.774148
7/26/2024 13:00,Sell,67862.7,67896.63135,67013.97514,68575.59766,ended before data with profit,0:32:00,0:00:00,0.538431,110369.7666,,1.774148
7/26/2024 17:00,Buy,67340.4,67306.7298,68181.71729,66633.6625,1,3:45:00,0:01:00,1.2291,111726.3215,,1.774148
7/27/2024 11:00,Sell,68184.7,68218.79235,67331.94805,68900.98027,-1,1:32:00,0:02:00,-1.06929,110531.643,,0.146667
7/27/2024 13:00,Sell,69205.9,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,110531.643,One open trade with the same side,0.146667
7/27/2024 15:00,Sell,68821.9,68856.31095,67961.17891,69544.87406,1,3:00:00,0:01:00,1.2291,111890.1876,,0.146667
7/27/2024 17:00,Sell,68514.4,NaN,NaN,NaN,Ignored,0:00:00,0:00:00,0,111890.1876,One open trade with the same side,0.146667
7/28/2024 5:00,Buy,67396.4,67362.7018,68238.41692,66689.07478,1,11:37:00,0:52:00,1.2291,113265.43,,1.2291
7/29/2024 0:00,Sell,68687.4,68721.7437,67828.36103,69408.96114,-1,1:33:00,0:00:00,-1.06929,112054.294,,-2.127146
7/29/2024 20:00,Buy,67348.4,67314.7258,68189.81724,66641.57854,-1,2:11:00,0:03:00,-1.06929,110856.1085,,-2.127146
7/30/2024 16:00,Sell,66150.2,66183.2751,65322.89252,66845.10785,1,3:09:00,0:00:00,1.2291,112218.6411,,1.2291
7/31/2024 17:00,Sell,66656.1,66689.42805,65822.46549,67356.32233,ended before data with profit,1:25:00,0:00:00,0.567274,112855.2283,,1.803347
7/31/2024 21:00,Sell,64950.1,64982.57505,64137.80157,65632.4008,1,3:32:00,0:03:00,1.2291,114242.3321,,1.803347
