Datetime,Signal
7/10/2023 17:58,-2
7/11/2023 18:58,2
7/12/2023 21:58,2
7/13/2023 18:58,-2
7/14/2023 22:58,2
7/16/2023 2:58,-2
7/16/2023 22:58,2
7/17/2023 18:58,-2
7/18/2023 11:58,-2
7/18/2023 14:58,-2
7/19/2023 15:58,-2
7/19/2023 18:58,2
7/20/2023 2:58,2
7/20/2023 12:58,-2
7/21/2023 2:58,2
7/21/2023 7:58,2
7/21/2023 10:58,2
7/21/2023 22:58,-2
7/22/2023 14:58,2
7/22/2023 17:58,2
7/23/2023 10:58,-2
7/23/2023 14:58,-2
7/23/2023 18:58,-2
7/24/2023 10:58,2
7/25/2023 18:58,-2
7/27/2023 2:58,2
7/27/2023 18:58,2
7/29/2023 6:58,2
7/30/2023 6:58,-2
7/30/2023 10:58,-2
7/30/2023 18:58,2
7/31/2023 10:58,-2
8/1/2023 2:58,2
8/1/2023 19:58,-2
8/2/2023 21:58,2
8/3/2023 2:58,2
8/3/2023 15:58,-2
8/4/2023 20:58,2
8/5/2023 10:58,-2
8/6/2023 17:58,-2
8/7/2023 18:58,-2
8/8/2023 2:58,2
8/8/2023 18:58,2
8/8/2023 22:58,2
8/10/2023 10:58,-2
8/11/2023 2:58,2
8/11/2023 18:58,2
8/12/2023 17:58,-2
8/13/2023 2:58,2
8/13/2023 7:58,2
8/14/2023 2:58,-2
8/14/2023 18:58,-2
8/15/2023 10:58,-2
8/17/2023 6:58,2
8/17/2023 23:58,2
8/18/2023 6:58,2
8/20/2023 10:58,2
8/21/2023 2:58,-2
8/21/2023 6:58,-2
8/22/2023 2:58,2
8/22/2023 10:58,-2
8/22/2023 13:58,-2
8/23/2023 4:58,2
8/23/2023 12:58,-2
8/24/2023 10:58,2
8/24/2023 14:58,2
8/24/2023 22:58,-2
8/26/2023 11:58,2
8/27/2023 19:58,2
8/29/2023 2:58,-2
8/29/2023 14:58,-2
8/29/2023 18:58,2
8/30/2023 10:58,-2
8/31/2023 1:58,2
8/31/2023 22:58,2
9/2/2023 2:58,-2
9/2/2023 10:58,2
9/3/2023 22:58,-2
9/5/2023 2:58,2
9/5/2023 19:58,-2
9/7/2023 2:58,-2
9/7/2023 10:58,2
9/7/2023 18:58,-2
9/8/2023 2:58,2
9/10/2023 3:58,2
9/10/2023 10:58,2
9/10/2023 19:58,-2
9/12/2023 14:58,-2
9/13/2023 2:58,2
9/13/2023 18:58,2
9/14/2023 10:58,-2
9/15/2023 17:58,-2
9/17/2023 6:58,2
9/18/2023 14:58,-2
9/18/2023 18:58,2
9/18/2023 22:58,2
9/19/2023 18:58,-2
9/20/2023 22:58,-2
9/21/2023 10:58,-2
9/21/2023 21:58,2
9/22/2023 2:58,2
9/22/2023 18:58,-2
9/23/2023 18:58,2
9/25/2023 1:58,2
9/26/2023 14:58,-2
9/27/2023 0:58,-2
9/27/2023 2:58,-2
9/27/2023 11:58,-2
9/27/2023 17:58,-2
9/28/2023 2:58,2
9/28/2023 19:58,2
9/29/2023 23:58,-2
9/30/2023 14:58,2
9/30/2023 18:58,2
10/1/2023 17:58,-2
10/2/2023 15:58,2
10/4/2023 6:58,2
10/4/2023 10:58,2
10/5/2023 16:58,2
10/6/2023 14:58,2
10/7/2023 2:58,-2
10/8/2023 11:58,-2
10/9/2023 9:58,-2
10/10/2023 2:58,-2
10/10/2023 6:58,-2
10/11/2023 2:58,2
10/11/2023 5:58,2
10/11/2023 18:58,-2
